province,year,avg_temperature,avg_humidity,total_rainfall,RR_Q1,RR_Q2,RR_Q3,RR_Q4,Tavg_Q1,Tavg_Q2,Tavg_Q3,Tavg_Q4,production,productivity,harvest_area,temp_humidity_index,rainfall_per_area,is_java,rainfall_category_kering,rainfall_category_normal,rainfall_category_basah,region_Bali_Nusa,region_Jawa,region_Kalimantan,region_Maluku_Papua,region_Sulawesi,region_Sumatera
sulawesi selatan,2018,26.359017595307915,81.02346041055719,9.55066944713881,8.788440957404594,7.871730802421703,6.625922731319248,8.324239311265085,26.032153392330383,26.567151162790697,26.13830409356725,26.69734513274336,5952616450,5021,1185484.1,2135.698818594611,8.056345460102118e-06,0,True,False,False,False,False,False,False,True,False
sulawesi selatan,2019,26.624911284599005,78.36195883605394,9.203778892474336,8.475787693357566,7.946794476115345,6.277770673379832,7.485098713798439,26.07610062893082,26.70162601626016,26.140897097625327,27.58600583090379,5054166960,5003,1010188.75,2086.3802020973353,9.110949703590767e-06,0,True,False,False,False,False,False,False,True,False
sulawesi selatan,2020,26.51532447224394,82.85379202501954,9.624619852449557,8.705281422271193,7.731097041199909,7.079100145062459,8.636947615941363,26.442535211267607,26.56568265682657,26.39017543859649,26.64538043478261,4708464970,4823,976258.14,2196.8951792992107,9.858683331798873e-06,0,True,False,False,False,False,False,False,True,False
sulawesi tengah,2018,27.32672064777328,82.41902834008097,7.908938477874255,6.4622491213367885,6.707229017533336,6.628438122861984,6.233233562545356,27.045864661654136,27.445,27.077477477477476,27.76727272727273,926978660,4605,201279.24,2252.2417635103016,3.9293364171492907e-05,0,True,False,False,False,False,False,False,True,False
sulawesi tengah,2019,27.487418936446172,80.68093385214007,8.304272211122202,6.840867333440506,7.313087044867289,6.466455717864757,6.872956773439442,27.296226415094342,27.35990099009901,27.375980392156862,27.870388349514563,844904300,4540,186100.44,2217.710628977476,4.4622528623124035e-05,0,True,False,False,False,False,False,False,True,False
sulawesi tengah,2020,27.49266802443992,81.74541751527495,8.195002486500794,7.092407451114374,5.704448919199361,6.766422102865493,7.134572075662643,27.53205128205128,27.765714285714285,26.805217391304346,27.851333333333333,792248840,4449,178066.94,2247.3996262666906,4.602203242241695e-05,0,True,False,False,False,False,False,False,True,False
sulawesi tenggara,2018,27.44496124031008,82.07364341085271,8.81594872614913,7.447751280047908,7.9184102888911045,6.849596364808605,7.198183577101943,27.979761904761908,26.789224137931036,26.49702380952381,28.520388349514562,538876140,3943,136673.75,2252.507962261883,6.450359871960852e-05,0,True,False,False,False,False,False,False,True,False
sulawesi tenggara,2019,27.26087388282026,81.87388282025819,8.710899693076756,7.806370719176283,7.889009441706944,5.869861725348733,6.386037214049723,27.405019305019305,26.93201581027668,25.894323144104803,28.609774436090223,519706930,3927,132343.86,2231.953593859863,6.58202027084487e-05,0,True,False,False,False,False,False,False,True,False
sulawesi tenggara,2020,27.405077720207256,84.27668393782383,8.988520943624104,7.878799312509063,7.802618063442671,7.214577994961301,7.356790601791676,27.726217228464417,27.1353711790393,26.287745098039213,28.174716981132075,532773490,3985,133697.15,2309.6090733174046,6.723046035724621e-05,0,True,False,False,False,False,False,False,True,False
sulawesi utara,2018,26.87541899441341,81.12609736632083,9.291108969973733,8.132912108975203,7.90052545456151,7.236411334403344,8.117222958790034,26.15729537366548,26.993846153846153,27.365822784810128,26.900604229607254,326929740,4647,70352.62,2180.2978581014504,0.0001320648608204369,0,True,False,False,False,False,False,False,True,False
sulawesi utara,2019,26.70068306010929,79.95218579234972,9.075345051188666,8.062369757765532,7.921608198441044,6.7071068054952985,7.597396320212795,25.890633608815424,27.08130311614731,27.027733333333334,26.8,277776310,4479,62020.39,2134.777972804503,0.00014632840989431672,0,True,False,False,False,False,False,False,True,False
sulawesi utara,2020,26.63544034090909,83.49076704545455,9.45985317831046,8.164510268747042,8.059560722825498,7.7505716840607874,8.252237572287587,26.42146739130435,26.878323699421966,26.569381107491857,26.674160206718344,248879480,4025,61827.86,2223.813344655943,0.00015300308270058883,0,True,False,False,False,False,False,False,True,False
sumatera barat,2018,26.204545454545453,85.98484848484848,9.25057019119525,7.61761207310503,7.876031065922243,7.637427234224455,8.20849175174038,26.381481481481483,26.591411042944785,25.974999999999998,25.953370786516853,1483076480,4737,313050.82,2253.193870523416,2.954973953078849e-05,0,True,False,False,False,False,False,False,False,True
